twitter_id	cluster_id
682345023267016704	8578
682345119949938688	8578
682345130427346945	4435
682345130561519616	211
682345137972772865	6043
682345208571367424	10259
682345211570319362	6321
682345233665888257	2108
682345235054243840	6640
682345254809407489	4825
682345293170503680	8578
682345319930171393	6640
682345366675697669	10259
682345397809995776	10259
682345450075238400	2108
682345457717219330	2322
682345517477695488	5048
682345561421418496	6640
682345576281849856	3709
682345604702408704	3709
682345613854412800	4435
682345614504505345	3709
682345615754457088	10699
682345644665733120	211
682345670389317632	3709
682345671467220992	8578
682345673900056580	8578
682345686076121088	1580
682345691902013441	8578
682345711934029824	8578
682345800609878016	9240
682345817961807872	1580
682345857052741638	6043
682345898387570688	1580
682345903945048064	2361
682345964468867075	10259
682345975944462336	6640
682345988477087744	10259
682346000699240449	3709
682346003429781504	10259
682346032148168704	8578
682346032760504320	10259
682346052381470720	10259
682346104877350912	8578
682346304543002624	1580
682346309420990465	1580
682346403843158017	211
682346425347366912	211
682346442560782336	2361
682346455533793281	4435
682346552476700672	10259
682346630897602560	8578
682346644600434688	8578
682346663462236161	5048
682346759499198469	3709
682346764364546048	10499
682346776767119360	2108
682346777350160388	6640
682346826931015680	211
682346941049647105	6043
682347033735380997	2108
682347044661518336	8578
682347064995524608	211
682347092044570625	8578
682347146251759617	9240
682347152077647872	1580
682347237486268416	3709
682347263532728320	4435
682347296865030144	10499
682347298085548032	3709
682347311662559234	8578
682347362258436097	5048
682347373339799553	211
682347386396610560	5048
682347415626772480	5048
682347470093942787	1580
682347471599747072	1580
682347481083047936	4435
682347500729155584	1580
682347581247217664	4435
682347895186714624	10259
682347896780488704	5048
682347913784242178	2322
682347953168711680	5048
682347966099779586	2108
682347993148841984	2361
682348019015090176	8578
682348024895528960	211
682348061851545600	5048
682348089923997697	1580
682348093971546112	8578
682348139559436288	3709
682348203677736963	1580
682348327678115841	2966
682348363904364544	3709
682348392039710720	5048
682348444539875328	211
682348451301044228	4435
682348499409702912	10499
682348634977992704	10259
682348686219841536	5048
682348696906907648	211
682348707430400001	5048
682348759611785216	4435
682348946413477890	2361
